"id","activity_id","user_id","read_at"
1,1,1,2026-01-05 14:47:22.477
2,1,2,2026-01-05 14:48:06.678
3,2,1,2026-01-05 14:48:41.403
4,2,2,2026-01-05 14:49:11.783
5,3,6,2026-01-05 14:58:51.157
6,4,1,2026-01-05 15:01:18.093
7,4,2,2026-01-05 15:01:33.495
8,3,1,2026-01-05 15:20:09.698
9,5,5,2026-01-06 11:25:58.831
10,6,6,2026-01-06 14:44:28.230
11,7,6,2026-01-06 14:48:37.699
12,7,1,2026-01-07 00:19:18.206
13,8,5,2026-01-07 00:26:20.153
14,9,5,2026-01-07 00:28:16.696
15,10,5,2026-01-07 00:28:44.691
16,11,2,2026-01-07 00:36:31.941
17,12,6,2026-01-07 00:39:12.798
18,12,1,2026-01-07 00:39:42.009
19,13,1,2026-01-07 00:39:53.623
20,14,1,2026-01-07 00:40:13.197
21,15,1,2026-01-07 00:40:53.603
22,16,1,2026-01-07 01:16:19.493
23,17,1,2026-01-07 01:16:22.126
24,18,1,2026-01-07 01:16:51.766
25,19,1,2026-01-07 11:29:56.421
26,20,1,2026-01-07 11:30:11.516
27,21,1,2026-01-07 11:38:41.167
28,22,1,2026-01-07 11:39:53.777
29,23,1,2026-01-07 11:41:24.454
30,24,1,2026-01-07 12:02:13.671
31,25,1,2026-01-07 12:06:37.811
32,26,1,2026-01-07 12:09:55.248
33,27,1,2026-01-07 12:10:13.018
34,28,1,2026-01-07 12:17:03.234
35,29,1,2026-01-07 12:24:12.773
36,30,1,2026-01-07 12:25:07.355
37,31,1,2026-01-07 12:25:39.643
38,32,1,2026-01-07 12:27:50.440
39,33,1,2026-01-07 12:28:34.873
40,34,1,2026-01-07 12:28:48.660
41,35,1,2026-01-07 12:29:44.710
42,36,1,2026-01-07 12:35:49.751
43,37,1,2026-01-07 12:37:41.650
44,38,1,2026-01-07 13:42:34.513
45,38,2,2026-01-07 13:47:17.762
46,8,1,2026-01-07 13:48:21.381
47,39,1,2026-01-07 14:32:48.304
48,40,1,2026-01-07 14:33:04.984
49,41,1,2026-01-07 14:33:10.186
50,42,1,2026-01-07 14:59:55.588
51,43,1,2026-01-07 15:00:09.816
52,44,1,2026-01-07 15:00:13.671
53,45,1,2026-01-07 15:08:03.010
54,46,1,2026-01-07 15:08:35.565
55,47,1,2026-01-07 15:08:38.856
56,48,1,2026-01-07 15:13:02.259
57,49,1,2026-01-07 15:13:15.957
58,50,1,2026-01-07 15:13:19.740
59,51,1,2026-01-07 15:14:45.350
60,52,1,2026-01-07 15:14:58.628
61,53,1,2026-01-07 15:16:00.012
62,54,1,2026-01-07 15:16:02.070
63,55,1,2026-01-07 15:16:04.078
64,56,1,2026-01-07 15:17:05.193
65,57,1,2026-01-07 15:17:32.863
66,58,1,2026-01-07 15:17:35.307
67,59,1,2026-01-07 15:18:56.292
68,60,1,2026-01-07 15:27:19.552
69,61,1,2026-01-07 15:27:23.369
70,62,1,2026-01-07 15:29:07.261
71,63,2,2026-01-07 15:29:11.717
72,64,1,2026-01-07 15:30:18.680
73,65,1,2026-01-07 15:32:57.384
74,66,1,2026-01-07 15:33:00.538
75,67,1,2026-01-07 15:55:55.035
76,63,1,2026-01-07 16:40:58.947
77,68,1,2026-01-07 17:05:53.238
78,69,1,2026-01-07 19:45:18.608
79,70,1,2026-01-07 19:45:22.610
80,71,1,2026-01-07 19:46:07.721
81,71,2,2026-01-07 19:47:32.714
82,72,1,2026-01-07 19:49:18.106
83,73,1,2026-01-07 20:18:10.592
84,74,1,2026-01-07 21:29:31.706
85,75,1,2026-01-07 21:30:01.542
86,76,1,2026-01-07 21:58:34.574
87,77,1,2026-01-07 22:03:53.271
88,78,1,2026-01-08 01:07:25.184
89,79,1,2026-01-08 11:35:26.185
90,80,1,2026-01-08 11:45:35.304
91,81,1,2026-01-08 11:57:41.865
92,82,1,2026-01-08 11:58:33.962
93,83,1,2026-01-08 12:01:57.368
94,84,1,2026-01-08 12:05:13.026
95,85,1,2026-01-08 12:05:20.045
96,86,1,2026-01-08 12:06:18.867
97,87,1,2026-01-08 12:15:13.823
98,88,1,2026-01-08 12:15:39.104
99,89,1,2026-01-08 12:15:46.229
100,90,1,2026-01-08 12:17:04.138
101,91,5,2026-01-08 15:57:50.949
102,92,1,2026-01-08 15:59:55.417
103,93,1,2026-01-08 16:00:07.884
104,94,1,2026-01-08 16:00:16.934
105,95,1,2026-01-09 11:08:19.447
106,96,5,2026-01-09 14:57:30.290
107,97,5,2026-01-09 14:59:50.631
108,98,5,2026-01-09 15:00:52.115
109,99,5,2026-01-09 15:00:52.523
110,100,5,2026-01-09 15:02:43.200
111,101,1,2026-01-09 15:34:56.444
112,102,1,2026-01-09 15:35:38.537
113,103,1,2026-01-09 15:37:29.628
114,104,1,2026-01-09 16:00:46.924
115,105,1,2026-01-09 16:39:03.771
116,106,1,2026-01-09 16:40:07.390
117,107,1,2026-01-09 16:40:14.258
118,108,1,2026-01-09 16:40:18.359
119,109,1,2026-01-09 16:40:21.052
120,110,1,2026-01-09 16:41:43.861
121,111,1,2026-01-09 16:41:45.612
122,112,1,2026-01-09 16:41:47.895
123,113,1,2026-01-09 16:42:15.349
124,114,1,2026-01-09 16:42:36.186
125,115,1,2026-01-09 16:42:54.647
126,116,1,2026-01-09 16:43:08.011
127,117,1,2026-01-09 17:01:51.675
128,118,1,2026-01-10 12:22:51.970
129,119,1,2026-01-10 12:22:56.468
130,120,1,2026-01-10 12:24:32.850
131,121,1,2026-01-10 12:26:52.049
132,122,1,2026-01-10 12:29:41.537
133,123,1,2026-01-10 12:29:44.576
134,124,1,2026-01-10 12:30:27.136
135,125,1,2026-01-10 12:30:59.978
136,126,1,2026-01-10 13:40:28.608
137,127,1,2026-01-10 13:40:32.041
138,128,1,2026-01-10 13:40:33.690
139,129,1,2026-01-10 18:08:11.917
140,130,1,2026-01-10 18:14:37.525
141,131,1,2026-01-10 18:28:03.113
142,132,1,2026-01-10 18:30:04.367
143,133,1,2026-01-10 18:43:33.733
144,134,1,2026-01-10 18:43:37.731
145,135,1,2026-01-10 18:44:01.728
146,136,1,2026-01-10 18:44:46.246
147,137,1,2026-01-10 18:47:10.649
148,138,1,2026-01-10 18:49:26.987
149,139,1,2026-01-10 18:52:56.662
150,140,1,2026-01-10 18:53:20.638
151,141,1,2026-01-10 18:53:31.983
152,142,1,2026-01-10 19:53:27.002
153,143,1,2026-01-10 19:53:29.157
154,144,1,2026-01-10 19:53:48.530
155,145,1,2026-01-10 20:12:32.925
156,146,1,2026-01-10 20:25:30.683
157,147,1,2026-01-10 20:26:35.707
158,148,1,2026-01-10 20:26:38.037
159,149,1,2026-01-10 22:54:34.350
160,150,1,2026-01-10 22:54:37.131
161,151,1,2026-01-11 02:07:54.054
162,152,1,2026-01-11 02:14:16.271
163,153,1,2026-01-11 02:17:10.727
164,154,1,2026-01-12 10:30:32.079
165,155,1,2026-01-12 12:20:19.026
166,156,1,2026-01-12 12:20:26.451
167,157,1,2026-01-12 12:21:31.049
168,158,1,2026-01-12 12:38:33.339
170,160,1,2026-01-12 12:38:51.653
171,161,1,2026-01-12 12:38:57.680
172,162,5,2026-01-12 14:26:16.349
173,162,1,2026-01-12 21:23:22.440
174,163,3,2026-01-12 21:51:11.106
175,164,3,2026-01-12 21:53:26.769
176,165,3,2026-01-12 21:53:50.748
177,166,3,2026-01-12 21:55:45.934
178,167,3,2026-01-12 21:56:14.993
179,168,3,2026-01-12 21:56:21.791
180,169,3,2026-01-12 22:00:53.901
181,170,5,2026-01-12 22:26:43.881
182,171,5,2026-01-12 22:28:59.825
183,172,1,2026-01-12 22:34:50.864
184,173,1,2026-01-12 22:35:53.370
185,174,1,2026-01-12 22:35:59.576
186,175,1,2026-01-12 22:37:08.123
187,176,1,2026-01-12 22:37:25.754
188,177,5,2026-01-13 11:48:55.003
189,178,5,2026-01-13 11:53:10.549
190,179,5,2026-01-13 11:53:51.849
191,179,1,2026-01-13 11:57:27.208
192,180,1,2026-01-13 11:57:50.196
193,181,1,2026-01-13 11:58:23.778
194,182,1,2026-01-13 11:58:31.074
195,183,1,2026-01-13 11:59:32.887
196,184,1,2026-01-13 11:59:48.383
197,185,5,2026-01-13 12:34:54.149
198,186,5,2026-01-13 23:22:38.919
199,187,5,2026-01-13 23:25:48.915
200,187,1,2026-01-13 23:26:49.256
201,188,1,2026-01-13 23:27:21.174
202,189,1,2026-01-13 23:27:25.890
203,190,1,2026-01-13 23:28:09.669
204,191,1,2026-01-13 23:29:02.715
205,192,1,2026-01-13 23:29:15.033
206,193,1,2026-01-14 16:48:45.814
207,194,1,2026-01-14 16:48:52.398
208,195,1,2026-01-14 16:49:32.556
209,196,1,2026-01-14 16:49:37.262
210,197,1,2026-01-14 16:50:16.342
211,198,1,2026-01-14 16:50:19.728
212,199,1,2026-01-14 16:50:58.622
213,200,1,2026-01-14 17:06:11.356
214,201,1,2026-01-14 17:06:19.257
215,202,1,2026-01-14 17:06:25.258
