"demand_id","practice_id","account_id","demand_owner_id","hiring_manager_id","status","geo_location","position_title","position_count","billability","probability","expected_start_date","type_of_hire","mode_of_hire","experience","priority","source","job_description","customer_interview","created_at","updated_at","assigned_to","assigned_at","fulfilled_at"
13,2,5,1,11,Fulfilled,UK,Data Analyst,1,Billable,High,2025-03-01,Full-time,Onsite,"2-4 years",Low,LinkedIn,Must have strong SQL and data visualization skillset.,Y,2026-01-05 13:21:37.972,2026-01-05 13:21:37.972,,,
15,3,1,2,23,Pending,India,DevOps Engineer,3,Non-billable,High,2025-02-20,Contract,Remote,"4-6 years",Medium,Vendor,"Need experience with CI/CD, Docker, Kubernetes.",Y,2026-01-05 13:21:37.972,2026-01-05 13:21:37.972,,,
12,4,2,2,7,Pending,USA,Frontend Engineer,1,Non-billable,Medium,2026-02-10,Contract,Remote,"3-5 years",Medium,Referral,Need a frontend engineer with React.js experience.,N,2026-01-05 13:21:37.972,2026-01-05 13:21:37.972,,,
16,3,1,1,13,Open,US,AWS DEVVV,3,Billable,Firm,2026-12-08,Backfill/Replacement,Contract,"8",High,External,We are seeking a highly motivated and skilled Software Developer to join our growing technology team.,Y,2026-01-02 00:36:23.600,2026-01-04 00:10:36.400,,,
52,1,1,1,3,Pending,India,AWS DEV,1,Billable,Firm,2025-12-24,New Position,Contract,"7",High,Internal,AWS developer for cloud infrastructure.,Y,2026-01-07 00:29:22.200,2026-01-07 00:42:11.800,satyaki@gmail.com,,
53,2,1,1,7,Pending,India,AWSSSS DEVVV,9,Billable,Firm,2025-12-25,Backfill/Replacement,Contract,"5",High,Internal,AWS backfill role.,Y,2026-01-08 00:55:54.700,2026-01-08 00:55:54.700,satyaki@gmail.com,,
56,2,2,2,6,Fulfilled,India,AWS DEV,6,Non-billable,Firm,2025-12-24,New Position,Contract,"5",High,Internal,AWS non-billable assignment.,Y,2026-01-11 00:58:46.600,2026-01-11 00:35:09.400,satyaki@gmail.com,,
57,1,2,2,2,Fulfilled,India,AWS DEVVV,8,Billable,Firm,2025-12-25,New Position,Contract,"5",High,Internal,AWS developer fulfilled position.,Y,2026-01-12 00:10:12.800,2026-01-12 00:01:18.700,satyaki@gmail.com,,
58,2,2,2,6,Fulfilled,US,AWS DEV,7,Billable,Firm,2025-12-17,New Position,Contract,"5",High,Internal,US AWS developer.,Y,2026-01-13 00:55:12.200,2026-01-13 00:00:41.500,satyaki@gmail.com,,
59,2,1,1,7,Pending,US,DEV DEVV,7,Billable,Firm,2025-12-24,New Position,Contract,"5",Medium,Internal,Developer role for US client.,Y,2026-01-14 00:02:12.100,2026-01-14 00:02:12.100,satyaki@gmail.com,,
